鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,16.31,其他,,,1070521,土地1建物1車位2,三層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,277.96,0,0,0,無,有,無,71590,258,坡道機械,0.0,0,,RPTPMLPLNHNFFCB78CC
西屯區,房地(土地+建物),臺中市西屯區市政北七路181~210號,13.47,其他,,,1070519,土地1建物1車位0,九層,28,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060321,229.5,0,0,0,無,有,無,52000,227,,0.0,0,,RPUPMLPLNHNFFCB88CC
西屯區,建物,臺中市西屯區福科二路31~60號,0.0,住,,,1070522,土地0建物1車位2,五層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030226,309.25,4,2,2,有,有,無,37000,120,坡道平面,58.9,0,,RPXQMLPLNHNFFCB66CC
西屯區,建物,臺中市西屯區四川三街31~60號,0.0,住,,,1070515,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0690522,98.23,2,2,3,有,無,有,28000,285,,0.0,0,,RPQRMLPLNHNFFCB68CC
南屯區,房地(土地+建物),臺中市南屯區河南路四段331~360號,7.11,住,,,1070510,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941220,30.92,1,0,1,有,有,有,6860,222,,0.0,0,此件為 台中市政府社會住宅包租代管試辦計畫租金市價打7折,RPWRMLPLNHNFFCB66CC
北屯區,房地(土地+建物),臺中市北屯區敦化路一段406巷1~30號,69.0,住,,,1070505,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0920320,157.03,4,2,3,有,無,有,28000,178,,0.0,0,,RPXOMLPLNHNFFBB98CC
北屯區,房地(土地+建物),臺中市北屯區廓子巷1~30號,19.83,住,,,1070510,土地1建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0950614,19.83,22,0,22,有,無,有,3967,200,,0.0,0,此件為 台中市政府社會住宅包租代管試辦計畫租金市價打7折,RPXQMLPLNHNFFBB56CC
北屯區,房地(土地+建物),臺中市北屯區臺中市北屯區?子巷1~30號,19.44,住,,,1070510,土地1建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0950614,19.44,22,0,22,有,無,有,3967,204,,0.0,0,此件為 台中市政府社會住宅包租代管試辦計畫租金市價打7折,RPORMLPLNHNFFBB38CC
北屯區,房地(土地+建物),臺中市北屯區臺中市北屯區?子巷1~30號,19.44,住,,,1070510,土地1建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0950614,19.44,22,0,22,有,無,有,5322,274,,0.0,0,此件為 台中市政府社會住宅包租代管試辦計畫租金市價打9折,RPPRMLPLNHNFFBB48CC
東區,房地(土地+建物),臺中市東區進化路61~90號,90.0,住,,,1070426,土地2建物1車位0,全,2,透天厝,商業用,見其他登記事項,0581009,124.43,0,0,0,無,無,無,22000,177,,0.0,0,,RPROMLPLNHNFFAB28CC
