鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
金山區,房地(土地+建物),新北市金山區金包里街91~120號,28.52,商,,,1070518,土地2建物1車位0,一層，騎樓,一層,店面(店鋪),住家用,木造,,21.24,0,0,0,無,無,3750000,176554,,0.0,0,,RPUNMLLMNHNFFDF68CA
汐止區,房地(土地+建物),新北市汐止區大同路二段241~270號,6.22,住,,,1070519,土地1建物1車位0,十七層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,69.25,2,1,1,有,無,9090000,131264,,0.0,0,,RPQOMLLMNHNFFDF38CA
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路91~120號,11.6,住,,,1070509,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970722,107.98,2,1,1,有,有,9500000,87971,坡道平面,0.0,0,,RPWOMLLMNHNFFDF98CA
汐止區,房地(土地+建物),新北市汐止區大同路二段271~300號,4.98,住,,,1070513,土地1建物1車位0,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840126,57.08,1,1,1,有,有,6200000,108619,,0.0,0,,RPXOMLLMNHNFFDF09CA
汐止區,房地(土地+建物)+車位,新北市汐止區水源路二段36巷31~60號,28.46,住,,,1070501,土地3建物1車位1,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831224,163.76000000000002,3,2,2,有,有,12000000,73282,坡道平面,0.0,0,,RPXNMLLJOHNFFDF78CA
新店區,房地(土地+建物),新北市新店區直潭六街31~60號,175.0,住,,,1070501,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1050720,306.03,4,2,3,有,無,36000000,117636,,0.0,0,,RPVTMLOKOHNFFCF86CA
新店區,房地(土地+建物),新北市新店區永業路81巷1弄1~30號,18.09,其他,,,1070317,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691212,77.41,3,2,2,有,有,5100000,65883,,0.0,0,含增建或未登記建物。,RPVPMLLJOHNFFCF68CA
新店區,房地(土地+建物),新北市新店區新和街61~90號,17.75,住,,,1070514,土地1建物1車位0,一層，騎樓,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830430,112.43,0,0,0,無,有,14800000,131637,,0.0,0,,RPUOMLLJOHNFFCF48CA
新店區,房地(土地+建物),新北市新店區北新路三段31~60號,23.39,住,,,1070421,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720816,120.71000000000001,3,2,2,有,有,14360000,118963,,0.0,0,含增建或未登記建物。,RPVOMLLJOHNFFCF58CA
新店區,房地(土地+建物)+車位,新北市新店區安民街211~240號,19.99,住,,,1070412,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930119,139.79,3,2,2,有,有,13580000,97146,坡道平面,24.37,0,含增建或未登記建物。,RPXOMLLJOHNFFCF78CA
新店區,房地(土地+建物),新北市新店區寶興路45巷2弄1~30號,13.27,住,,,1070210,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980922,77.42,2,2,1,有,有,10600000,136916,,0.0,0,,RPRPMLLJOHNFFCF28CA
深坑區,房地(土地+建物)+車位,新北市深坑區北深路三段331~360號,9.47,住,,,1070509,土地2建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850601,139.66,3,2,2,有,有,6000000,42961,坡道平面,0.0,0,本買賣案件係屬三親等間特殊交易，其交易價格可能異於市場正常交易價格。,RPUNMLOJOHNFFCF68CA
新店區,房地(土地+建物)+車位,新北市新店區光明街224巷1~30號,25.23,住,,,1070501,土地2建物1車位2,十四層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050531,272.4,4,2,2,有,有,41080000,150808,坡道平面,69.18,0,,RPROMLLMNHNFFCF38CA
林口區,房地(土地+建物)+車位,新北市林口區惠民街30巷1~30號,30.57,住,,,1070419,土地1建物1車位2,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1051228,173.69,2,2,2,有,有,18350000,135034,坡道平面,66.68,3900000,,RPPOMLTLOHNFFBF88CA
林口區,房地(土地+建物)+車位,新北市林口區惠民街30巷1~30號,49.04,住,,,1061011,土地1建物1車位3,一層，見其他登記事項,十層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1051228,267.05,2,2,2,有,無,41300000,211923,坡道平面,100.48,6000000,,RPSOMLTLOHNFFBF56CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街172巷31~60號,43.54,住,,,1070510,土地1建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021223,276.88,4,2,2,有,有,31250000,121056,坡道平面,34.43,1900000,,RPQTMLQLOHNFFBF56CA
新莊區,房地(土地+建物),新北市新莊區後港一路151~180號,6.69,工,,,1070402,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,55.72,1,1,1,有,有,4670000,83812,,0.0,0,,RPQRMLPLOHNFFBF88CA
新莊區,房地(土地+建物)+車位,新北市新莊區後港一路151~180號,7.25,工,,,1070430,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,94.5,1,1,1,有,有,6100000,83449,坡道平面,36.98,1300000,,RPSRMLPLOHNFFBF09CA
新莊區,房地(土地+建物)+車位,新北市新莊區後港一路151~180號,7.25,工,,,1070430,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,94.5,1,1,1,有,有,6150000,84318,坡道平面,36.98,1300000,,RPTRMLPLOHNFFBF56CA
新莊區,房地(土地+建物),新北市新莊區後港一路151~180號,7.33,工,,,1070514,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020430,61.15,1,1,1,有,有,5000000,81766,,0.0,0,,RPURMLPLOHNFFBF66CA
五股區,房地(土地+建物)+車位,新北市五股區成泰路一段61巷1~30號,30.25,住,,,1070518,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061107,161.5,3,2,2,有,有,10600000,68647,坡道機械,23.11,1100000,,RPTQMLPKOHNFFBF98CA
五股區,房地(土地+建物)+車位,新北市五股區成泰路一段61巷1~30號,30.25,住,,,1070522,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061107,161.76,3,2,2,有,有,10400000,68518,坡道機械,23.11,900000,,RPUQMLPKOHNFFBF09CA
