鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍平路1107巷31~60號,16.96,,一般農業區,甲種建築用地,1070504,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060711,164.77,3,2,2,有,無,6950000,41729,坡道平面,24.58,1100000,含裝潢85萬,RPUNMLLMNHNFFCH78CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍平路1107巷31~60號,13.78,,一般農業區,甲種建築用地,1070430,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060711,132.43,2,2,1,有,無,5500000,40175,坡道平面,22.91,1100000,含裝潢60萬,RPVNMLLMNHNFFCH88CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍平路1107巷31~60號,17.17,,一般農業區,甲種建築用地,1070506,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060711,167.06,3,2,2,有,無,6380000,36356,坡道平面,24.58,1200000,,RPWNMLLMNHNFFCH98CA
龍潭區,土地,永福段1981~2010地號,390.47,,特定農業區,丁種建築用地,1070424,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8268000,21174,,0.0,0,,RPWOMLQJOHNFFCH76CA
龍潭區,房地(土地+建物)+車位,桃園市龍潭區龍平路1107巷31~60號,16.67,,一般農業區,甲種建築用地,1070504,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060711,163.09,3,2,2,有,無,6200000,36738,坡道平面,22.91,1050000,,RPPOMLLJOHNFFCH18CA
龍潭區,房地(土地+建物),桃園市龍潭區金龍路541~570號,21.85,,特定農業區,甲種建築用地,1070428,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0941228,75.53,3,2,2,有,有,3300000,43691,,0.0,0,,RPPNMLMKOHNFFCH28CA
大溪區,房地(土地+建物)+車位,桃園市大溪區文化路129巷36弄1~30號,31.27,住,,,1070503,土地1建物2車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801227,177.31,3,2,2,有,有,4000000,22559,坡道平面,0.0,600000,,RPVNMLOKOHNFFCH09CA
龍潭區,房地(土地+建物),桃園市龍潭區富華街315巷26弄1~30號,87.53,,一般農業區,甲種建築用地,1070425,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800520,214.92,4,3,3,有,無,6100000,28383,,0.0,0,,RPWOMLKLOHNFFCH98CA
新屋區,房地(土地+建物),桃園市新屋區中山路363巷5弄1~30號,95.12,住,,,1070514,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800625,137.45,3,3,3,有,無,5350000,38923,,0.0,0,,RPQQMLOLNHNFFDH98CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區中山北路二段265巷36弄1~30號,127.56,住,,,1070423,土地1建物1車位2,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1040902,446.6,4,2,5,有,有,25600000,57322,坡道平面,0.0,0,有電梯、地下室平面停車(可停3部車),RPTNMLPLNHNFFDH09CA
楊梅區,房地(土地+建物),桃園市楊梅區電研路188巷80弄1~30號,64.27,住,,,1070430,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700508,79.06,5,2,3,有,無,3800000,48065,,0.0,0,,RPROMLOLNHNFFDH88CA
楊梅區,房地(土地+建物),桃園市楊梅區長青東街181~210號,74.72,,山坡地保育區,丙種建築用地,1070425,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840828,115.05,3,2,3,有,有,5000000,43459,,0.0,0,,RPSOMLOLNHNFFDH98CA
楊梅區,房地(土地+建物),桃園市楊梅區楊湖路三段846巷95弄151~180號,101.56,,特定農業區,甲種建築用地,1070514,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970923,150.29,3,2,2,有,無,5500000,36596,,0.0,0,,RPVOMLSLNHNFFDH07CA
楊梅區,土地,高上段1231~1260地號,246.53,,特定農業區,農牧用地,1070508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,4056,,0.0,0,,RPUOMLOLNHNFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區金溪路175巷61~90號,64.0,住,,,1070422,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0950820,176.75,4,2,2,有,無,7660000,43338,,0.0,0,頂樓增建,RPPOMLSLNHNFFDH09CA
楊梅區,房地(土地+建物),桃園市楊梅區永美路361~390號,110.93,住,,,1070414,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960726,307.02,4,2,4,有,無,25900000,84359,,0.0,0,,RPQOMLSLNHNFFDH56CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區永美路371巷1~30號,38.08,住,,,1070419,土地2建物1車位2,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050830,277.17,3,2,2,有,有,13250000,47805,坡道平面,0.0,0,,RPUOMLTLNHNFFDH07CA
新屋區,土地,下田心子段下田心子小段1111~1140地號,3429.0,,特定農業區,農牧用地,1070319,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10370000,3024,,0.0,0,,RPXOMLOJOHNFFDH76CA
楊梅區,土地,民富段571~600地號,148.33,住,,,1070418,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2356043,15884,,0.0,0,農田水利會協議價購民眾土地,RPPRMLRJOHNFFDH56CA
楊梅區,土地,民有段961~990地號,136.57,,特定農業區,水利用地,1070412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,554475,4060,,0.0,0,農田水利會協議價購民眾土地,RPXPMLRJOHNFFDH17CA
