鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中和區,建物,新北市中和區中山路二段332巷31~60號,0.0,工,,,1070523,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060118,91.96,2,1,1,有,無,有,26000,283,,0.0,0,,RPUSMLTLNHNFFHF87CC
中和區,建物,新北市中和區中山路二段332巷1~30號,0.0,工,,,1070525,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060118,92.12,2,1,1,有,無,有,25000,271,,0.0,0,,RPWSMLTLNHNFFHF08CC
樹林區,建物,新北市樹林區博愛街91~120號,0.0,商,,,1070520,土地0建物1車位0,見其他登記事項,12,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040303,99.3,0,0,0,無,無,無,43000,433,,0.0,0,,RPTNMLTLNHNFFIF37CC
鶯歌區,建物,新北市鶯歌區中正三路156巷1~30號,1911.08,,一般農業區,丁種建築用地,1070503,土地0建物2車位0,見其他登記事項,3,工廠,見其他登記事項,鋼骨鋼筋混凝土造,1061107,4313.0,0,0,0,無,無,無,636300,,,0.0,0,,RPXOMLTLNHNFFIF87CC
樹林區,房地(土地+建物),新北市樹林區佳園路三段511~540號,19.54,住,,,1070523,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970125,119.94,3,2,2,有,有,有,19000,158,,0.0,0,,RPRPMLTLNHNFFIF37CC
三重區,建物,新北市三重區中興北街135巷1~30號,0.0,工,,,1070403,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0760310,137.76,0,0,0,無,有,無,36000,261,,0.0,0,另有車位一個租金1200元,RPOPMLTLNHNFFGF86CC
汐止區,房地(土地+建物),新北市汐止區仁愛路31~60號,88.5,住,,,1070425,土地1建物1車位0,一層,3,店面(店鋪),住家用,加強磚造,0610916,72.6,0,0,0,無,無,無,33000,455,,0.0,0,,RPOOMLTLNHNFFDF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段211~240號,18.1,住,,,1070515,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060220,129.81,2,2,1,有,有,無,19000,146,坡道平面,31.8,0,,RPWNMLTLNHNFFEF27CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段91~120號,25.39,住,,,1070525,土地1建物1車位1,二十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020,158.33,4,2,2,有,有,有,26000,164,坡道平面,29.2,0,,RPQOMLTLNHNFFEF76CC
淡水區,房地(土地+建物),新北市淡水區北新路169巷61~90號,15.19,住,,,1070526,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840913,101.77,1,0,1,有,有,有,5000,49,,0.0,0,,RPUOMLTLNHNFFEF17CC
林口區,房地(土地+建物),新北市林口區忠孝三路91~120號,45.54,住,,,1070501,土地1建物1車位0,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040122,262.46000000000004,0,0,0,無,有,無,50000,191,,0.0,0,,RPWPMLTLNHNFFBF17CC
林口區,房地(土地+建物),新北市林口區文化三路一段191巷31~60號,11.61,住,,,1070528,土地1建物1車位0,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,1041223,78.0,0,0,1,有,有,無,25000,321,,0.0,0,,RPQQMLTLNHNFFBF66CC
新店區,房地(土地+建物),新北市新店區民權路91~120號,524.84,其他,,,1070503,土地1建物1車位0,八層,10,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0960730,136.32,0,0,0,無,無,無,51550,378,,0.0,0,,RPOOMLTLNHNFFCF98CC
