編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLOJOHNFFBM98CA,,189.03,見其他登記事項,鋼筋混凝土造,106年12月20日,四層,一層 二層 三層 四層 見其他登記事項
RPQOMLOJOHNFFBM98CA,,.18,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,
RPPOMLRJOHNFFAM09CA,16,205.46,住家用,鋼筋混凝土造,91年7月10日,四層,一層 二層 三層 四層
RPSNMLLJOHNFFBM78CA,45,119.33,住商用,鋼筋混凝土加強磚造,62年7月30日,四層,一層 二層 三層 四層
RPROMLOJOHNFFBM09CA,,248.54,見其他登記事項,鋼筋混凝土造,106年12月20日,三層,一層 二層 三層
RPROMLOJOHNFFBM09CA,,.35,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,
RPWNMLLLOHNFFBM76CA,1,298.27,見其他登記事項,鋼筋混凝土造,106年2月15日,四層,一層 二層 三層 四層
RPPNMLQJOHNFFBM98CA,,89.15,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,八層
RPPNMLQJOHNFFBM98CA,,83.91,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,
RPXNMLOJOHNFFAM86CA,24,173.53,住家用,鋼筋混凝土造,83年10月7日,四層,一層 二層 三層 四層
RPXNMLOJOHNFFAM86CA,24,45.13,見其他登記事項,鋼筋混凝土造,83年10月7日,十一層,
RPOOMLOJOHNFFAM68CA,,188.71,見其他登記事項,鋼筋混凝土造,106年11月7日,四層,一層 二層 三層 四層
RPQNMLNJOHNFFAM68CA,20,144.70,住家用,鋼筋混凝土造,87年5月25日,二層,一層 二層 屋頂突出物 地下層
RPQNMLNJOHNFFAM68CA,20,30.69,共有部份,鋼筋混凝土造,87年5月25日,二層,
RPWNMLOJOHNFFBM86CA,,58.32,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,四層
RPWNMLOJOHNFFBM86CA,,29.09,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,
RPSNMLQJOHNFFBM66CA,1,175.10,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
RPSNMLQJOHNFFBM66CA,1,14.77,見其他登記事項,鋼筋混凝土造,106年8月31日,一層,
RPUNMLNKOHNFFAM56CA,23,65.82,住家用,鋼筋混凝土造,84年2月16日,十三層,八層
RPUNMLNKOHNFFAM56CA,23,16.91,見其他登記事項,鋼筋混凝土造,84年2月16日,十三層,
RPPNMLOJOHNFFCM88CA,15,65.76,住家用,鋼筋混凝土造,91年12月17日,二層,一層 二層
RPWNMLNKOHNFFAM76CA,41,86.00,住家用,鋼筋混凝土加強磚造,66年6月6日,二層,一層 二層
RPPNMLOJOHNFFBM88DA,50,26.07,住家用,鋼筋混凝土加強磚造,57年7月20日,二層,一層 二層
RPVNMLLKOHNFFCM66CA,24,99.35,見其他登記事項,鋼筋混凝土造,83年7月7日,十三層,七層
RPVNMLLKOHNFFCM66CA,24,20.11,見其他登記事項,鋼筋混凝土造,83年7月7日,十三層,
RPTNMLPJOHNFFBM76DA,50,26.07,住家用,鋼筋混凝土加強磚造,57年7月20日,二層,一層 二層
RPUNMLQLOHNFFCM17CA,,215.20,住家用,鋼筋混凝土造,107年1月19日,四層,一層 二層 三層 四層
