編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPTPMLRJOHNFFAD68CA,坡道平面,1100000,
RPTPMLRJOHNFFAD68CA,坡道平面,1100000,
RPVPMLRJOHNFFAD88CA,坡道平面,900000,
RPVPMLRJOHNFFAD88CA,坡道平面,900000,
RPUPMLRJOHNFFAD78CA,坡道平面,900000,
RPUPMLRJOHNFFAD78CA,坡道平面,900000,
RPTNMLNJOHNFFAD08CA,坡道平面,0,
RPWOMLSLNHNFFAD09CA,坡道平面,1200000,44.26
RPOOMLNKOHNFFAD77CA,坡道平面,0,
RPXOMLSLNHNFFAD56CA,坡道平面,1200000,44.26
RPWNMLKMNHNFFAD28CA,坡道平面,0,
RPUQMLKMNHNFFAD38CA,坡道平面,1300000,24.11
RPQPMLTLNHNFFAD68CA,坡道機械,0,10.49
RPPOMLNKOHNFFAD87CA,坡道平面,0,
RPVRMLKMNHNFFAD58CA,坡道平面,0,
RPVPMLOJOHNFFAD58CA,坡道平面,0,
RPRQMLOJOHNFFAD28CA,坡道平面,0,
RPXOMLPJOHNFFAD78CA,坡道平面,0,
RPQNMLMJOHNFFAD67CA,坡道平面,0,
RPUOMLNKOHNFFAD38CA,坡道機械,0,
RPUOMLOJOHNFFCD58CA,坡道機械,0,4.94
RPVNMLKMNHNFFCD38CA,坡道平面,1080000,24.43
RPUNMLOJOHNFFCD48CA,坡道機械,700000,
RPTNMLNKOHNFFCD38CA,坡道平面,0,
RPXNMLTKOHNFFCD76CA,坡道平面,0,25.33
RPVPMLQJOHNFFCD98CA,坡道平面,1200000,27.64
RPPOMLTKOHNFFCD68CA,坡道平面,0,25.33
RPUNMLTLNHNFFHD96CA,一樓平面,0,
RPUNMLTLNHNFFHD96CA,一樓平面,0,
RPSOMLPKOHNFFHD09CA,坡道平面,700000,31.43
RPTNMLPJOHNFFID09CA,坡道平面,0,29.18
RPUNMLNKOHNFFID09CA,坡道平面,0,18.21
