編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSLNHNFFAB38DC,47,114.44,商業用,見其他登記事項,60年5月29日,二層,
RPROMLSLNHNFFBB68CC,35,23.24,住家用,鋼筋混凝土造,72年9月24日,四層,
RPTOMLSLNHNFFBB88CC,35,23.24,住家用,鋼筋混凝土造,72年9月24日,四層,
RPVOMLSLNHNFFBB09CC,23,29.75,商業用,鋼筋混凝土造,83年12月22日,十七層,
RPVOMLSLNHNFFBB09CC,23,13.83,見其他登記事項,鋼筋混凝土造,83年12月22日,十七層,
RPQPMLSLNHNFFBB68CC,23,27.10,商業用,鋼筋混凝土造,83年12月22日,十七層,
RPQPMLSLNHNFFBB68CC,23,12.62,見其他登記事項,鋼筋混凝土造,83年12月22日,十七層,
RPOTMLSLNHNFFCB98CC,24,91.18,住商用,鋼筋混凝土造,83年10月11日,十五層,
RPOTMLSLNHNFFCB98CC,24,140.69,共有部份,鋼筋混凝土造,83年10月11日,十五層,
RPOTMLSLNHNFFCB98CC,24,118.42,住家用,鋼筋混凝土造,83年10月11日,十五層,
RPTPMLTLNHNFFCB56CC,1,59.72,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPWQMLTLNHNFFCB96CC,9,46.55,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPWQMLTLNHNFFCB96CC,9,41.60,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPWQMLTLNHNFFCB96CC,9,18.32,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPOOMLLLNHNFFIB38CC,20,39.67,見其他登記事項,鋼筋混凝土造,87年3月30日,四層,
RPROMLNLNHNFFIB88CC,23,70.79,見其他登記事項,鋼筋混凝土造,84年11月6日,七層,
RPROMLNLNHNFFIB88CC,26,5.87,共有部份,鋼筋混凝土造,80年12月20日,六層,
RPROMLNLNHNFFIB88CC,26,9.32,見其他登記事項,鋼筋混凝土造,80年12月20日,六層,
RPSPMLNLNHNFFIB09CC,5,244.41,見其他登記事項,鋼筋混凝土造,102年4月26日,四層,
RPSPMLTLNHNFFCB09CC,1,39.93,見其他登記事項,鋼筋混凝土造,106年8月17日,十一層,
RPXQMLTLNHNFFCB07CC,35,83.30,住商用,鋼筋混凝土造,72年2月9日,四層,
RPORMLTLNHNFFCB88CC,9,45.25,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLTLNHNFFCB88CC,9,3.80,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPORMLTLNHNFFCB88CC,9,17.80,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPPRMLTLNHNFFCB98CC,9,65.94,住家用,鋼筋混凝土造,98年8月13日,十八層,
RPPRMLTLNHNFFCB98CC,9,41.26,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPPRMLTLNHNFFCB98CC,9,23.35,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPQRMLTLNHNFFCB09CC,25,107.44,商業用,鋼筋混凝土造,82年2月26日,二十三層,
RPQRMLTLNHNFFCB09CC,25,70.00,共有部分,鋼筋混凝土造,82年2月26日,二十三層,
RPTNMLTLNHNFFBB88CC,45,288.00,商業用,加強磚造,62年5月20日,二層,
RPQQMLTLNHNFFBB88CC,12,59.92,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPQQMLTLNHNFFBB88CC,12,24.05,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPWPMLTLNHNFFBB76CC,23,29.97,商業用,鋼筋混凝土造,83年12月22日,十七層,
RPWPMLTLNHNFFBB76CC,23,13.83,見其他登記事項,鋼筋混凝土造,83年12月22日,十七層,
RPRQMLTLNHNFFBB98CC,12,15.94,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPWQMLTLNHNFFBB86CC,12,48.56,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPWQMLTLNHNFFBB86CC,12,19.52,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPSQMLTLNHNFFBB09CC,12,59.92,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPSQMLTLNHNFFBB09CC,12,24.05,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPTQMLTLNHNFFBB56CC,12,15.94,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPUQMLTLNHNFFBB66CC,12,48.14,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPUQMLTLNHNFFBB66CC,12,19.26,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPXQMLTLNHNFFBB96CC,5,27.23,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPWOMLKMNHNFFIB56CC,7,67.45,見其他登記事項,鋼筋混凝土造,100年4月13日,十五層,
