編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLSLNHNFFEA86CC,22,76.65,共有部分,鋼筋混凝土造,85年6月24日,十二層,
RPPPMLSLNHNFFEA78CC,27,140.46,住家用,鋼筋混凝土造,80年5月14日,十五層,
RPPPMLSLNHNFFEA78CC,27,46.35,共有部分,鋼筋混凝土造,80年5月14日,十五層,
RPWOMLPLNHNFFEA09CC,22,152.07,住家用,鋼骨混凝土造,84年11月3日,二十六層,
RPWOMLPLNHNFFEA09CC,22,40.33,共有部分,鋼骨混凝土造,84年11月3日,二十六層,
RPWOMLPLNHNFFEA09CC,22,48.49,共有部分,鋼骨混凝土造,84年11月3日,二十六層,
RPWNMLSLNHNFFAA88CC,36,95.96,住家用,鋼筋混凝土造,71年8月24日,十二層,
RPWNMLSLNHNFFAA88CC,36,19.48,共有部分,鋼筋混凝土造,71年8月24日,十二層,
RPQOMLSLNHNFFFA88CC,10,151.82,住家用,鋼筋混凝土造,97年3月26日,十五層,
RPQOMLSLNHNFFFA88CC,10,9.09,共有部分,鋼筋混凝土造,97年3月26日,十五層,
RPQOMLSLNHNFFFA88CC,10,20.41,共有部分,鋼筋混凝土造,97年3月26日,十五層,
RPQOMLSLNHNFFFA88CC,10,.96,共有部分,鋼筋混凝土造,97年3月26日,十五層,
RPQOMLSLNHNFFFA88CC,10,43.79,共有部分,鋼筋混凝土造,97年3月26日,十五層,
RPTOMLSLNHNFFFA56CC,12,113.34,住家用,鋼筋混凝土造,95年11月13日,十四層,
RPTOMLSLNHNFFFA56CC,12,18.87,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPTOMLSLNHNFFFA56CC,12,20.97,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPTOMLSLNHNFFFA56CC,12,39.26,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPSOMLSLNHNFFFA09CC,12,26.81,住家用,鋼筋混凝土造,95年4月24日,十層,
RPSOMLSLNHNFFFA09CC,12,7.51,共有部分,鋼筋混凝土造,95年4月24日,十層,
RPSOMLSLNHNFFFA09CC,12,8.27,共有部分,鋼筋混凝土造,95年4月24日,十層,
RPVOMLSLNHNFFFA76CC,34,90.74,商業用,鋼筋混凝土造,73年7月10日,十二層,
RPVOMLSLNHNFFFA76CC,34,11.91,共有部分,鋼筋混凝土造,73年7月10日,十二層,
RPRNMLSLNHNFFCA58CC,7,55.70,住家用,鋼筋混凝土造,100年7月26日,十三層,
RPRNMLSLNHNFFCA58CC,7,13.05,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPRNMLSLNHNFFCA58CC,7,20.98,見其他登記事項,鋼筋混凝土造,100年7月26日,十三層,
RPVNMLSLNHNFFCA98CC,5,127.75,住家用,鋼筋混凝土造,102年8月23日,五層,
RPVNMLSLNHNFFCA98CC,5,38.96,見其他登記事項,鋼筋混凝土造,102年8月23日,五層,
