鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
公館鄉,土地,尖山段121~150地號,2034.0,,特定農業區,農牧用地,1070502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,2065,,0.0,0,,RPPNMLOKOHNFFBK68CA
公館鄉,土地,尖山段121~150地號,2035.0,,特定農業區,農牧用地,1070429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,2064,,0.0,0,,RPQNMLOKOHNFFBK78CA
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里6鄰中山路181~210號,77.02,住,,,1070513,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0980110,210.75,4,2,5,有,無,10280000,48778,,0.0,0,,RPUNMLOKOHNFFBK56CA
苗栗市,房地(土地+建物),苗栗縣苗栗市清華里23鄰為民街421~450號,33.06,住,,,1070419,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,44.17,4,2,2,有,無,601100,13609,,0.0,0,,RPPNMLQKOHNFFBK88CA
公館鄉,房地(土地+建物),苗栗縣公館鄉福基村7鄰181~210號,85.0,,山坡地保育區,丙種建築用地,1070508,土地1建物1車位0,全,,透天厝,住家用,加強磚造,,131.22,3,2,3,有,無,2800000,21338,,0.0,0,,RPSNMLNKOHNFFBK88CA
苗栗市,房地(土地+建物),苗栗縣苗栗市清華里27鄰為民街361~390號,14.24,住,,,1070425,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840115,121.28,3,2,2,有,有,3800000,31332,,0.0,0,,RPTNMLNKOHNFFBK98CA
苗栗市,土地,文發段331~360地號,123.7,其他,,,1070509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,825698,6675,,0.0,0,,RPRNMLTJOHNFFBK66CA
通霄鎮,土地,大坪頂段271~300地號,514.0,,山坡地保育區,農牧用地,1070507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,681,,0.0,0,,RPPNMLNLNHNFFCK68CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮山佳里11鄰中興街1~30號,28.36,住,,,1070414,土地2建物2車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800125,151.73999999999998,5,2,2,有,有,4500000,29656,坡道平面,0.0,0,,RPUNMLNLNHNFFDK66CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里12鄰維新路317巷1~30號,28.21,住,,,1070410,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060218,171.8,3,2,2,有,無,8450000,56633,坡道平面,36.72,800000,,RPQNMLOLNHNFFDK98CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮新南里12鄰維新路317巷1~30號,21.24,住,,,1070331,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060218,135.07,2,2,1,有,無,6080000,54265,坡道平面,31.32,450000,,RPSNMLOLNHNFFDK56CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮東明里9鄰下浮尾121~150號,86.0,,特定農業區,甲種建築用地,1050902,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土加強磚造,1061002,200.02,4,2,4,有,無,6760000,33797,,0.0,0,,RPPOMLPLNHNFFDK09CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里3鄰大埔二街61~90號,123.66,住,,,1070426,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060930,328.87,7,2,7,有,無,17500000,53213,,0.0,0,,RPPNMLRLNHNFFDK56CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里3鄰科專五路238巷1~30號,102.34,住,,,1070503,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060930,326.42,7,2,7,有,無,15368000,47080,,0.0,0,,RPQNMLRLNHNFFDK66CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里3鄰科專五路211~240號,118.7,住,,,1070426,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060930,319.61,7,2,7,有,無,16500000,51625,,0.0,0,,RPQNMLSLNHNFFDK76CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里3鄰科專五路211~240號,118.81,住,,,1070426,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060930,326.55,7,2,7,有,無,19000000,58184,,0.0,0,,RPPOMLSLNHNFFDK76CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮竹南里20鄰博愛街151~180號,115.0,住,,,1070508,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0650818,247.03,4,2,2,有,無,18500000,74890,,0.0,0,,RPWNMLSLNHNFFDK37CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮校椅里12鄰?i榔二街247巷1~30號,83.38,住,,,1070507,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051006,236.32,3,3,3,有,有,10500000,44431,,0.0,0,,RPRNMLKMNHNFFDK78CA
竹南鎮,建物,苗栗縣竹南鎮營盤里22鄰萬福街1~30號,0.0,,,,1070430,土地0建物1車位0,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040924,108.25,3,2,2,有,無,1880000,17367,,0.0,0,買賣價款含共有約定專用車位,RPUNMLPJOHNFFDK76CA
頭份巿,土地,太陽段181~210地號,93.83,,鄉村區,乙種建築用地,1070509,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1707000,18192,,0.0,0,,RPQNMLOLNHNFFFK56CA
三灣鄉,房地(土地+建物),苗栗縣三灣鄉永和村9鄰砂坑1~30號,2835.0,,山坡地保育區,農牧用地,1030429,土地1建物1車位0,一層，二層,二層,農舍,農舍,見其他登記事項,1020306,227.87,4,1,4,有,無,16000000,,,0.0,0,本買賣標的含地上花、草、樹木等等。,RPTNMLLMNHNFFFK66CA
