編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLMNHNFFAU07CA,,93.10,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPRNMLKMNHNFFCU07CA,,214.43,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層 屋頂突出物
RPRNMLKMNHNFFAU86CA,24,22.99,住家用,鋼筋混凝土造,83年8月11日,八層,五層
RPRNMLKMNHNFFAU86CA,24,35.30,住家用,鋼筋混凝土造,83年8月11日,八層,五層
RPRNMLKMNHNFFAU86CA,24,27.51,共有部份,鋼筋混凝土造,83年8月11日,八層,
RPSNMLKMNHNFFCU17CA,27,125.31,住商用,鋼筋混凝土造,80年4月29日,二層,一層 二層 屋頂突出物 騎樓
RPPNMLLMNHNFFAU76CA,40,104.12,住商用,鋼筋混凝土加強磚造,66年11月16日,二層,一層 二層 騎樓
RPVNMLLJOHNFFAU17CA,,136.72,住家用,鋼筋混凝土造,107年1月3日,三層,一層 二層 三層 屋頂突出物
RPUNMLLMNHNFFCU47CA,,212.51,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層 屋頂突出物
RPWOMLOKOHNFFAU77CA,21,59.13,住家用,鋼筋混凝土造,85年10月29日,十六層,八層
RPWOMLOKOHNFFAU77CA,21,10.93,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPWOMLOKOHNFFAU77CA,21,17.36,共有部份,鋼筋混凝土造,85年10月29日,十六層,
RPSOMLKMNHNFFAU17DA,22,54.82,住家用,鋼筋混凝土造,85年10月5日,五層,一層
RPSOMLKMNHNFFAU17DA,22,7.87,共有部份,鋼筋混凝土造,85年10月5日,五層,
RPPOMLSJOHNFFAU37CA,22,128.43,住家用,鋼筋混凝土造,85年10月2日,三層,一層 二層 三層
RPTNMLLMNHNFFAU37EA,39,126.28,住家用,鋼筋混凝土造,68年7月30日,二層,一層 二層
RPPPMLSJOHNFFAU47CA,22,72.04,住家用,鋼筋混凝土造,85年2月5日,十二層,一層
RPPPMLSJOHNFFAU47CA,22,9.27,共有部份,鋼筋混凝土造,85年2月5日,十二層,
RPPPMLSJOHNFFAU47CA,22,10.13,共有部份,鋼筋混凝土造,85年2月5日,十二層,
RPXNMLLJOHNFFAU37CA,,52.35,住家用,木造,,一層,一層
RPTOMLLMNHNFFAU27CA,22,77.44,住家用,鋼筋混凝土造,85年1月23日,七層,五層
RPTOMLLMNHNFFAU27CA,22,38.05,共有部份,鋼筋混凝土造,85年1月23日,七層,
RPOOMLRJOHNFFAU17CA,18,48.67,住家用,鋼筋混凝土造,88年12月29日,五層,四層
RPOOMLRJOHNFFAU17CA,18,14.15,共有部份,鋼筋混凝土造,88年12月29日,五層,
RPOOMLNJPHNFFAU07EA,7,14.03,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,
RPOOMLNJPHNFFAU07EA,7,108.27,見其他登記事項,鋼筋混凝土造,100年1月21日,十二層,十一層
RPOOMLNJPHNFFAU07EA,7,48.55,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPOOMLNJPHNFFAU07EA,7,.15,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPOOMLMKOHNFFAU76CA,23,75.10,住家用,鋼筋混凝土造,83年11月15日,十二層,八層
RPOOMLMKOHNFFAU76CA,23,6.40,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPOOMLMKOHNFFAU76CA,23,3.38,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPXOMLTKOHNFFAU38CA,23,48.33,住家用,鋼筋混凝土造,83年11月17日,五層,四層
RPXOMLTKOHNFFAU38CA,23,10.81,共有部份,鋼筋混凝土造,83年11月17日,五層,
RPQOMLOKOHNFFAU17CA,1,283.25,住家用,鋼筋混凝土造,106年8月22日,四層,一層 二層 三層 四層
RPQNMLLJOHNFFAU66CA,22,55.22,住家用,鋼筋混凝土造,85年7月26日,五層,五層
RPQNMLLJOHNFFAU66CA,22,9.34,共有部份,鋼筋混凝土造,85年7月26日,五層,
RPSNMLTKOHNFFAU77CA,,26.34,見其他登記事項,鋼筋混凝土造,107年3月22日,五層,三層
RPSNMLTKOHNFFAU77CA,,18.62,共有部份,鋼筋混凝土造,107年3月22日,五層,
RPRNMLLJOHNFFBU07EA,32,120.12,住家用,鋼筋混凝土加強磚造,75年9月15日,二層,一層 二層
RPOOMLOJOHNFFAU86CA,25,102.43,住家用,鋼筋混凝土造,82年7月20日,八層,七層
RPOOMLOJOHNFFAU86CA,25,36.43,共有部份,鋼筋混凝土造,82年7月20日,八層,
RPSNMLLJOHNFFAU07EA,36,93.87,住家用,鋼筋混凝土造,70年11月24日,七層,一層
RPSNMLLJOHNFFAU07EA,36,19.61,共有部份,鋼筋混凝土造,70年11月24日,七層,
RPSNMLOJOHNFFAU17CA,24,33.56,住家用,鋼筋混凝土造,83年7月22日,五層,五層
RPSNMLOJOHNFFAU17CA,24,10.34,共有部份,鋼筋混凝土造,83年7月22日,五層,
RPUNMLOJOHNFFAU37CA,24,136.73,住家用,鋼筋混凝土造,82年10月29日,三層,一層 二層 三層
RPQNMLRJOHNFFAU27CA,5,282.02,農舍,鋼筋混凝土造,102年8月30日,四層,一層 二層 三層 四層
RPPNMLLKOHNFFAU66CA,20,203.58,住家用,鋼筋混凝土造,86年10月17日,四層,一層 二層 三層 四層
RPVNMLOJOHNFFAU47CA,,203.38,住家用,鋼筋混凝土造,106年10月12日,四層,一層 二層 三層 四層
