編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLNLNHNFFEF09CC,4,1.45,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPUNMLNLNHNFFEF09CC,4,.21,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPUNMLNLNHNFFEF09CC,4,.68,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPUNMLNLNHNFFEF09CC,4,.43,見其他登記事項,鋼筋混凝土造,103年4月23日,十八層,
RPOPMLNLNHNFFHF98CC,24,83.12,住家用,鋼筋混凝土造,82年12月22日,六層,
RPOPMLNLNHNFFHF98CC,24,22.77,共有部分,鋼筋混凝土造,82年12月22日,六層,
RPRNMLOLNHNFFIF66CC,10,156.34,住家用,鋼筋混凝土造,97年3月3日,十五層,
RPXNMLNLNHNFFGF96CC,26,99.61,商業用,鋼骨鋼筋混凝土造,81年8月21日,二十一層,
RPXNMLNLNHNFFGF96CC,26,10.38,共有部分,鋼骨鋼筋混凝土造,81年8月21日,二十一層,
RPXNMLNLNHNFFGF96CC,26,52.23,共有部分,鋼骨鋼筋混凝土造,81年8月21日,二十一層,
RPXNMLNLNHNFFGF96CC,26,11.50,共有部分,鋼骨鋼筋混凝土造,81年8月21日,二十一層,
RPPPMLNLNHNFFAF38CC,24,94.15,住家用,鋼筋混凝土造,83年6月6日,十二層,
RPPPMLNLNHNFFAF38CC,24,12.22,共有部份,鋼筋混凝土造,83年6月6日,十二層,
RPPOMLNLNHNFFIF09CC,9,196.42,見其他登記事項,鋼筋混凝土造,98年7月30日,二十五層,
RPWOMLOLNHNFFHF17CC,42,42.70,住家用,鋼筋混凝土造,64年12月3日,四層,
RPTOMLOLNHNFFHF86CC,23,105.73,住家用,鋼筋混凝土造,84年10月21日,十六層,
RPTOMLOLNHNFFHF86CC,23,6.74,共有部分,鋼筋混凝土造,84年10月21日,十六層,
RPTRMLNLNHNFFGF96CC,16,67.45,住家用,鋼筋混凝土造,91年3月5日,十四層,
RPTRMLNLNHNFFGF96CC,16,11.85,共有部分,鋼筋混凝土造,91年3月5日,十四層,
RPTRMLNLNHNFFGF96CC,16,4.86,共有部分,鋼筋混凝土造,91年3月5日,十四層,
RPXOMLOLNHNFFHF27CC,41,116.74,住家用,鋼筋混凝土造,66年10月8日,五層,
RPOPMLOLNHNFFHF09CC,39,56.99,商業用,鋼筋混凝土造,67年11月30日,七層,
RPQPMLOLNHNFFHF66CC,26,98.96,住家用,鋼筋混凝土造,81年5月16日,七層,
RPQPMLOLNHNFFHF66CC,26,18.98,共有部分,鋼筋混凝土造,81年5月16日,七層,
RPPPMLOLNHNFFHF56CC,11,78.76,住家用,鋼筋混凝土造,95年12月12日,十二層,
RPPPMLOLNHNFFHF56CC,11,23.95,共有部分,鋼筋混凝土造,95年12月12日,十二層,
RPXOMLOLNHNFFEF96CC,1,148.42,住家用,鋼筋混凝土造,106年2月16日,十四層,
RPXOMLOLNHNFFEF96CC,1,25.30,見其他登記事項,鋼筋混凝土造,106年2月16日,十四層,
RPWQMLOLNHNFFEF07CC,5,123.75,住家用,鋼筋混凝土造,102年7月12日,十五層,
RPWQMLOLNHNFFEF07CC,5,53.38,見其他登記事項,鋼筋混凝土造,102年7月12日,十五層,
RPWQMLOLNHNFFEF07CC,5,27.34,見其他登記事項,鋼筋混凝土造,102年7月12日,十五層,
RPVPMLOLNHNFFEF86CC,9,67.64,住家用,鋼筋混凝土造,98年7月14日,七層,
RPVPMLOLNHNFFEF86CC,9,20.02,共有部分,鋼筋混凝土造,98年7月14日,七層,
RPROMLPLNHNFFCF88CC,5,178.94,見其他登記事項,鋼筋混凝土造,101年11月29日,十一層,
RPROMLPLNHNFFCF88CC,5,6.49,見其他登記事項,鋼筋混凝土造,101年11月29日,十一層,
RPROMLPLNHNFFCF88CC,5,45.11,見其他登記事項,鋼筋混凝土造,101年11月29日,十一層,
RPROMLPLNHNFFCF88CC,5,118.81,見其他登記事項,鋼筋混凝土造,101年11月29日,七層,
RPUNMLOLNHNFFCF98CC,5,142.09,住家用,見其他登記事項,101年11月14日,二十八層,
RPUNMLOLNHNFFCF98CC,5,31.92,見其他登記事項,見其他登記事項,101年11月14日,二十八層,
RPUNMLOLNHNFFCF98CC,5,1.85,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPUNMLOLNHNFFCF98CC,5,4.35,見其他登記事項,見其他登記事項,101年11月14日,二十八層,
RPUNMLOLNHNFFCF98CC,5,51.93,見其他登記事項,見其他登記事項,101年11月14日,二十八層,
RPUOMLPLNHNFFCF56CC,40,111.77,住家用,鋼筋混凝土造,67年5月17日,五層,
RPSOMLPLNHNFFCF98CC,41,106.37,住家用,鋼筋混凝土造,65年12月11日,四層,
RPSOMLPLNHNFFCF98CC,41,19.48,住家用,鋼筋混凝土造,65年12月11日,四層,
RPUNMLPLNHNFFBF98CC,11,9.05,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPUNMLPLNHNFFBF98CC,11,44.24,住家用,鋼筋混凝土造,95年11月13日,十四層,
RPUNMLPLNHNFFBF98CC,11,6.88,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPSNMLPLNHNFFEF09CC,5,74.13,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPSNMLPLNHNFFEF09CC,5,25.71,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPSNMLPLNHNFFEF09CC,5,44.29,見其他登記事項,鋼筋混凝土造,102年10月16日,十五層,
RPXOMLPLNHNFFCF86CC,18,82.96,商業用,鋼筋混凝土造,89年3月30日,九層,
RPXOMLPLNHNFFCF86CC,18,6.77,共有部分,鋼筋混凝土造,89年3月30日,九層,
RPXOMLPLNHNFFCF86CC,18,6.97,共有部分,鋼筋混凝土造,89年3月30日,九層,
RPQNMLPLNHNFFEF88CC,22,95.00,住家用,鋼筋混凝土造,85年2月3日,二十二層,
RPQNMLPLNHNFFEF88CC,22,1.90,共有部分,鋼筋混凝土造,85年2月3日,二十二層,
RPQNMLPLNHNFFEF88CC,22,19.82,共有部分,鋼筋混凝土造,85年2月3日,二十二層,
RPROMLPLNHNFFHF76CC,37,88.50,住家用,鋼筋混凝土造,70年1月16日,五層,
RPWNMLPLNHNFFEF86CC,,62.06,住家用,鋼筋混凝土造,106年12月29日,二十七層,
RPWNMLPLNHNFFEF86CC,,44.17,見其他登記事項,鋼筋混凝土造,106年12月29日,二十七層,
RPTOMLPLNHNFFHF96CC,48,94.82,住家用,加強磚造,59年7月9日,四層,
RPPOMLPLNHNFFEF88CC,4,75.74,住家用,鋼筋混凝土造,103年6月13日,十一層,
RPPOMLPLNHNFFEF88CC,4,31.43,見其他登記事項,鋼筋混凝土造,103年6月13日,十一層,
RPUOMLPLNHNFFHF07CC,4,135.85,見其他登記事項,見其他登記事項,103年10月6日,十五層,
RPUOMLPLNHNFFHF07CC,4,59.68,見其他登記事項,見其他登記事項,103年10月6日,十五層,
RPQOMLPLNHNFFHF66CC,21,48.95,商業用,鋼筋混凝土造,86年1月9日,六層,
RPQOMLPLNHNFFHF66CC,21,12.17,共有部分,鋼筋混凝土造,86年1月9日,六層,
RPVOMLPLNHNFFEF86CC,1,103.98,住家用,鋼筋混凝土造,106年2月20日,十三層,
RPVOMLPLNHNFFEF86CC,1,38.62,見其他登記事項,鋼筋混凝土造,106年2月20日,十三層,
RPVOMLPLNHNFFEF86CC,1,34.88,見其他登記事項,鋼筋混凝土造,106年2月20日,十三層,
RPPOMLPLNHNFFHF56CC,40,99.92,住家用,鋼筋混凝土造,66年12月25日,四層,
RPXOMLPLNHNFFHF37CC,38,94.82,見其他登記事項,鋼筋混凝土造,68年12月17日,五層,
RPVRMLPLNHNFFGF37CC,39,304.00,見其他登記事項,鋼筋混凝土造,68年10月23日,二層,
RPOPMLPLNHNFFHF56CC,40,71.72,住家用,鋼筋混凝土造,66年12月28日,四層,
RPWOMLPLNHNFFHF27CC,21,31.07,住家用,鋼筋混凝土造,86年5月15日,十七層,
RPWOMLPLNHNFFHF27CC,21,5.91,共有部分,鋼筋混凝土造,86年5月15日,十七層,
RPRNMLQLNHNFFEF09CC,10,36.59,住家用,鋼筋混凝土造,97年7月11日,十五層,
RPRNMLQLNHNFFEF09CC,10,15.59,共有部分,鋼筋混凝土造,97年7月11日,十五層,
RPRNMLPLNHNFFIF76CC,1,36.40,見其他登記事項,鋼筋混凝土造,106年5月31日,十二層,
RPQNMLQLNHNFFDF88CC,37,83.28,住家用,鋼筋混凝土造,70年11月17日,五層,
RPSOMLSLNHNFFCF66CC,30,95.94,住家用,鋼筋混凝土造,77年1月6日,五層,
RPSOMLSLNHNFFCF66CC,2,9.62,見其他登記事項,見其他登記事項,105年5月31日,二十二層,
RPXRMLSLNHNFFBF37CC,6,157.65,見其他登記事項,鋼筋混凝土造,101年8月28日,九層,
RPXRMLSLNHNFFBF37CC,6,63.83,見其他登記事項,鋼筋混凝土造,101年8月28日,九層,
RPOSMLSLNHNFFBF56CC,1,64.44,見其他登記事項,鋼筋混凝土造,106年3月28日,十一層,
RPOSMLSLNHNFFBF56CC,1,20.00,見其他登記事項,鋼筋混凝土造,106年3月28日,十一層,
RPOSMLSLNHNFFBF56CC,1,54.68,見其他登記事項,鋼筋混凝土造,106年3月28日,十一層,
RPQNMLSLNHNFFEF56CC,30,23.47,住家用,鋼筋混凝土造,77年2月5日,五層,
RPOQMLSLNHNFFAF88CC,,80.65,住家用,鋼筋混凝土造,,四層,
RPPSMLSLNHNFFBF66CC,2,100.54,見其他登記事項,鋼筋混凝土造,105年3月23日,二十七層,
RPPSMLSLNHNFFBF66CC,2,16.40,見其他登記事項,鋼筋混凝土造,105年3月23日,二十七層,
RPPSMLSLNHNFFBF66CC,2,31.24,見其他登記事項,鋼筋混凝土造,105年3月23日,二十七層,
RPPSMLSLNHNFFBF66CC,2,39.97,見其他登記事項,鋼筋混凝土造,105年3月23日,二十七層,
RPTSMLSLNHNFFBF07CC,1,146.27,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,98.51,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,101.62,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,79.98,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,120.18,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,89.11,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,128.44,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,93.18,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,106.14,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPTSMLSLNHNFFBF07CC,1,78.76,見其他登記事項,鋼筋混凝土造,106年9月27日,五層,
RPSNMLQLNHNFFAF78CC,50,124.66,住家用,磚造,57年4月1日,二層,
RPSSMLSLNHNFFBF96CC,11,67.43,住家用,鋼筋混凝土造,96年10月17日,十九層,
RPSSMLSLNHNFFBF96CC,11,3.72,共有部分,鋼筋混凝土造,96年10月17日,十九層,
